sequence_name,frame_number,label,HeightWidthRatio,MajorMinorRatio,BoundingBoxOccupancy,MaxStdXZ,HHmaxRatio,H,D,P40,image_sample
adl-01,080,-1,3.1031,3.5971,0.59664,143.0026,0.79614,1464.8941,798.5366,0.16814,./data/adl_imgs/adl-01-cam0-d-080.png
adl-01,081,-1,3.2796,3.8493,0.60166,106.7943,0.80968,1489.811,788.3997,0.17878,./data/adl_imgs/adl-01-cam0-d-081.png
adl-01,082,-1,3.2447,3.9298,0.61001,105.3362,0.80968,1489.811,776.7371,0.19458,./data/adl_imgs/adl-01-cam0-d-082.png
adl-01,083,-1,3.2234,3.8999,0.63844,105.4393,0.79404,1461.0394,752.0247,0.22245,./data/adl_imgs/adl-01-cam0-d-083.png
adl-01,084,-1,3.1684,3.9097,0.65679,103.991,0.79271,1458.5918,722.4977,0.25313,./data/adl_imgs/adl-01-cam0-d-084.png
adl-01,085,-1,3.3043,3.8592,0.68178,101.9546,0.80045,1472.825,711.3199,0.26752,./data/adl_imgs/adl-01-cam0-d-085.png
adl-01,086,-1,2.9804,3.7348,0.60942,101.3924,0.7973,1467.0351,712.1558,0.26306,./data/adl_imgs/adl-01-cam0-d-086.png
adl-01,087,-1,2.8318,3.6113,0.57185,105.4441,0.79166,1456.6457,711.8345,0.26419,./data/adl_imgs/adl-01-cam0-d-087.png
adl-01,088,-1,2.6637,3.5482,0.54853,108.388,0.7903,1454.1519,711.672,0.26585,./data/adl_imgs/adl-01-cam0-d-088.png
adl-01,089,-1,2.5812,3.4543,0.52717,110.7948,0.79017,1453.9085,706.4675,0.2687,./data/adl_imgs/adl-01-cam0-d-089.png
adl-01,090,-1,2.6518,3.4362,0.55568,109.085,0.7791,1433.5517,701.0217,0.26888,./data/adl_imgs/adl-01-cam0-d-090.png
adl-01,091,-1,2.75,3.5392,0.57984,106.6232,0.77528,1426.517,711.1105,0.26625,./data/adl_imgs/adl-01-cam0-d-091.png
adl-01,092,-1,2.9901,3.5214,0.60245,106.046,0.79008,1453.7477,705.1417,0.26926,./data/adl_imgs/adl-01-cam0-d-092.png
adl-01,093,-1,2.93,3.5275,0.60765,104.9538,0.76968,1416.2149,695.3347,0.27651,./data/adl_imgs/adl-01-cam0-d-093.png
adl-01,094,-1,2.92,3.6591,0.59658,102.5104,0.7699,1416.6116,699.7635,0.28307,./data/adl_imgs/adl-01-cam0-d-094.png
adl-01,095,-1,2.9796,3.7326,0.60466,102.105,0.77068,1418.0478,698.7402,0.29446,./data/adl_imgs/adl-01-cam0-d-095.png
adl-01,096,-1,3.129,3.8082,0.59919,99.207,0.76332,1404.5146,698.4358,0.2928,./data/adl_imgs/adl-01-cam0-d-096.png
adl-01,097,-1,3.129,3.8547,0.58863,97.3329,0.7577,1394.1718,703.1989,0.27797,./data/adl_imgs/adl-01-cam0-d-097.png
adl-01,098,-1,2.0276,3.2762,0.39252,121.2039,0.78898,1451.7295,781.2603,0.21682,./data/adl_imgs/adl-01-cam0-d-098.png
adl-01,099,-1,2.0204,3.0002,0.37284,126.3546,0.79711,1466.6902,796.5453,0.18786,./data/adl_imgs/adl-01-cam0-d-099.png
adl-01,100,-1,1.8882,2.8884,0.38309,132.0657,0.78491,1444.2257,777.6683,0.1974,./data/adl_imgs/adl-01-cam0-d-100.png
adl-01,101,-1,1.8544,2.8352,0.38262,134.7792,0.76523,1408.0272,754.6968,0.2265,./data/adl_imgs/adl-01-cam0-d-101.png
adl-01,102,-1,1.7531,2.7182,0.40047,140.6876,0.74823,1376.738,728.3627,0.24771,./data/adl_imgs/adl-01-cam0-d-102.png
adl-01,103,-1,1.7407,2.6633,0.41524,143.0947,0.73568,1353.6464,711.8239,0.26373,./data/adl_imgs/adl-01-cam0-d-103.png
adl-01,104,-1,1.6867,2.526,0.41089,147.8899,0.72923,1341.791,710.0685,0.25945,./data/adl_imgs/adl-01-cam0-d-104.png
adl-01,105,-1,1.6407,2.4988,0.41033,144.9559,0.6995,1287.0746,704.2915,0.25549,./data/adl_imgs/adl-01-cam0-d-105.png
adl-01,106,-1,1.5549,2.391,0.42005,150.5594,0.70434,1295.986,712.6083,0.24366,./data/adl_imgs/adl-01-cam0-d-106.png
adl-01,107,-1,1.5318,2.3099,0.42838,152.8473,0.69588,1280.4133,697.508,0.25037,./data/adl_imgs/adl-01-cam0-d-107.png
adl-01,108,-1,1.4914,2.2234,0.43168,154.4508,0.6794,1250.1027,685.6463,0.24831,./data/adl_imgs/adl-01-cam0-d-108.png
adl-01,109,-1,1.435,2.1544,0.43752,154.5724,0.6616,1217.3428,671.4532,0.24921,./data/adl_imgs/adl-01-cam0-d-109.png
adl-01,110,-1,1.454,2.085,0.45039,157.7157,0.64569,1188.0654,664.1263,0.24618,./data/adl_imgs/adl-01-cam0-d-110.png
adl-01,111,-1,1.479,2.0649,0.47565,152.8689,0.63246,1163.7323,645.4811,0.24975,./data/adl_imgs/adl-01-cam0-d-111.png
adl-01,112,-1,1.3616,1.975,0.46644,159.3586,0.6264,1152.5725,637.0718,0.25004,./data/adl_imgs/adl-01-cam0-d-112.png
adl-01,113,-1,1.339,1.9345,0.471,159.0128,0.61973,1140.2978,621.4757,0.25357,./data/adl_imgs/adl-01-cam0-d-113.png
adl-01,114,-1,1.3295,1.8781,0.48191,160.3652,0.61225,1126.5467,607.84,0.25555,./data/adl_imgs/adl-01-cam0-d-114.png
adl-01,115,-1,1.3029,1.8293,0.48995,160.0994,0.59315,1091.3952,589.5574,0.26012,./data/adl_imgs/adl-01-cam0-d-115.png
adl-01,116,-1,1.2303,1.7647,0.50064,160.5108,0.57255,1053.4873,572.6382,0.2706,./data/adl_imgs/adl-01-cam0-d-116.png
adl-01,117,-1,1.2414,1.7148,0.51894,162.6865,0.56382,1037.4352,558.4334,0.28353,./data/adl_imgs/adl-01-cam0-d-117.png
adl-01,118,-1,1.2197,1.6678,0.52097,161.5256,0.54673,1005.9821,540.0625,0.30425,./data/adl_imgs/adl-01-cam0-d-118.png
adl-01,119,-1,1.2118,1.6332,0.54249,160.1984,0.53906,991.8691,524.5998,0.3254,./data/adl_imgs/adl-01-cam0-d-119.png
adl-01,120,-1,1.2083,1.6037,0.55055,158.2511,0.52452,965.1232,510.4832,0.34384,./data/adl_imgs/adl-01-cam0-d-120.png
adl-01,121,-1,1.1916,1.5738,0.55812,158.8257,0.51884,954.6687,501.3946,0.35373,./data/adl_imgs/adl-01-cam0-d-121.png
adl-01,122,-1,1.1951,1.5459,0.57177,157.4591,0.51261,943.1965,492.2752,0.36563,./data/adl_imgs/adl-01-cam0-d-122.png
adl-01,123,-1,1.1429,1.5263,0.56948,158.611,0.4981,916.5087,483.1619,0.38266,./data/adl_imgs/adl-01-cam0-d-123.png
adl-01,124,-1,1.1515,1.4988,0.57384,157.293,0.49211,905.4856,472.8879,0.39683,./data/adl_imgs/adl-01-cam0-d-124.png
adl-01,125,-1,1.1212,1.4327,0.57016,158.391,0.48172,886.3626,468.46,0.40267,./data/adl_imgs/adl-01-cam0-d-125.png
adl-01,126,-1,1.1366,1.4449,0.59495,158.199,0.47811,879.7223,459.6601,0.41873,./data/adl_imgs/adl-01-cam0-d-126.png
adl-01,127,-1,1.1321,1.4133,0.59382,155.2971,0.46618,857.7789,450.1861,0.4343,./data/adl_imgs/adl-01-cam0-d-127.png
adl-01,128,-1,1.1494,1.3718,0.59311,154.4865,0.45941,845.3144,452.3344,0.43484,./data/adl_imgs/adl-01-cam0-d-128.png
adl-01,129,-1,1.1069,1.355,0.5789,155.788,0.45462,836.5026,448.0407,0.43907,./data/adl_imgs/adl-01-cam0-d-129.png
adl-01,130,-1,1.1019,1.3352,0.58812,153.1796,0.4496,827.2565,449.399,0.43458,./data/adl_imgs/adl-01-cam0-d-130.png
adl-01,131,-1,1.0875,1.3217,0.57866,155.7964,0.45012,828.2185,446.2774,0.43712,./data/adl_imgs/adl-01-cam0-d-131.png
adl-01,132,-1,1.0949,1.319,0.58568,153.8906,0.44681,822.1349,444.4271,0.44031,./data/adl_imgs/adl-01-cam0-d-132.png
adl-01,133,-1,1.1226,1.3272,0.58543,151.0632,0.44815,824.5979,441.962,0.44493,./data/adl_imgs/adl-01-cam0-d-133.png
adl-01,134,-1,1.1083,1.3178,0.58255,151.6427,0.44823,824.7468,441.7461,0.44395,./data/adl_imgs/adl-01-cam0-d-134.png
adl-01,135,-1,1.0807,1.3161,0.57068,153.1086,0.44899,826.1425,442.937,0.43879,./data/adl_imgs/adl-01-cam0-d-135.png
adl-01,136,-1,1.1154,1.3203,0.59225,152.4325,0.448,824.3115,445.3011,0.43481,./data/adl_imgs/adl-01-cam0-d-136.png
adl-01,137,-1,1.1218,1.3315,0.59249,152.8327,0.45051,828.9361,444.3121,0.43771,./data/adl_imgs/adl-01-cam0-d-137.png
adl-01,138,-1,1.1355,1.3189,0.58845,152.4114,0.45349,834.4199,446.7714,0.43244,./data/adl_imgs/adl-01-cam0-d-138.png
adl-01,139,-1,1.129,1.3032,0.59687,152.8829,0.4502,828.362,445.5008,0.43508,./data/adl_imgs/adl-01-cam0-d-139.png
adl-01,140,-1,1.0741,1.3077,0.57269,154.5363,0.44904,826.2394,442.3124,0.44304,./data/adl_imgs/adl-01-cam0-d-140.png
adl-01,141,-1,1.1226,1.3062,0.58988,152.3061,0.44805,824.407,439.4306,0.44893,./data/adl_imgs/adl-01-cam0-d-141.png
adl-01,142,-1,1.0881,1.2868,0.58945,155.7982,0.44639,821.3502,443.6915,0.43882,./data/adl_imgs/adl-01-cam0-d-142.png
adl-01,143,-1,1.109,1.307,0.58971,152.3398,0.44628,821.1563,443.178,0.44455,./data/adl_imgs/adl-01-cam0-d-143.png
adl-01,144,-1,1.1032,1.3143,0.60234,152.2537,0.44399,816.9455,438.7231,0.4503,./data/adl_imgs/adl-01-cam0-d-144.png
adl-01,145,-1,1.0818,1.3147,0.58436,152.6195,0.44478,818.387,437.7731,0.45504,./data/adl_imgs/adl-01-cam0-d-145.png
adl-01,146,-1,1.1234,1.3053,0.60108,153.0803,0.44601,820.6639,436.9983,0.45648,./data/adl_imgs/adl-01-cam0-d-146.png
adl-01,147,-1,1.1382,1.2994,0.59937,152.2465,0.44639,821.3502,441.5977,0.44807,./data/adl_imgs/adl-01-cam0-d-147.png
adl-01,148,-1,1.1307,1.3111,0.60066,151.27,0.44697,822.4279,438.846,0.44953,./data/adl_imgs/adl-01-cam0-d-148.png
adl-01,149,-1,1.0813,1.3108,0.58053,152.8023,0.44702,822.5133,439.9945,0.44738,./data/adl_imgs/adl-01-cam0-d-149.png
adl-01,150,-1,1.0675,1.3215,0.57528,154.1719,0.45288,833.3058,442.8685,0.4422,./data/adl_imgs/adl-01-cam0-d-150.png
adl-02,031,-1,4.8333,6.9214,0.50897,103.3485,0.79976,1471.5643,785.2725,0.11337,./data/adl_imgs/adl-02-cam0-d-031.png
adl-02,032,-1,5.1471,7.6229,0.50655,110.4015,0.92706,1705.7907,939.8865,0.057731,./data/adl_imgs/adl-02-cam0-d-032.png
adl-02,033,-1,4.9459,7.0683,0.51706,125.7489,0.91384,1681.4742,953.4527,0.087975,./data/adl_imgs/adl-02-cam0-d-033.png
adl-02,034,-1,4.3333,5.9598,0.52917,139.3886,0.91482,1683.2761,957.3402,0.073177,./data/adl_imgs/adl-02-cam0-d-034.png
adl-02,035,-1,3.6939,5.2575,0.49735,122.191,0.9105,1675.3242,947.4477,0.07708,./data/adl_imgs/adl-02-cam0-d-035.png
adl-02,036,-1,3.6667,4.7354,0.5227,140.5215,0.9384,1726.6639,969.1458,0.072818,./data/adl_imgs/adl-02-cam0-d-036.png
adl-02,037,-1,3.3889,4.0912,0.5506,133.9927,0.91158,1677.3062,936.4259,0.075905,./data/adl_imgs/adl-02-cam0-d-037.png
adl-02,038,-1,3.68,3.7193,0.64554,132.5263,0.9158,1685.078,945.1659,0.064152,./data/adl_imgs/adl-02-cam0-d-038.png
adl-02,039,-1,3.4444,3.382,0.66697,131.9808,0.91792,1688.978,954.997,0.058367,./data/adl_imgs/adl-02-cam0-d-039.png
adl-02,040,-1,1.9474,2.0395,0.66445,139.2133,0.92248,1697.3593,1181.6653,0.0,./data/adl_imgs/adl-02-cam0-d-040.png
adl-02,041,-1,3.0,2.9391,0.66016,138.381,0.92684,1705.3849,970.1237,0.053198,./data/adl_imgs/adl-02-cam0-d-041.png
adl-02,042,-1,2.8358,2.892,0.63755,131.6592,0.92684,1705.3849,956.0292,0.06826,./data/adl_imgs/adl-02-cam0-d-042.png
adl-02,043,-1,2.5714,2.7245,0.61873,119.927,0.9313,1713.5883,998.2708,0.024885,./data/adl_imgs/adl-02-cam0-d-043.png
adl-02,044,-1,2.5867,2.6954,0.56433,116.1671,0.95666,1760.2495,983.8639,0.052734,./data/adl_imgs/adl-02-cam0-d-044.png
adl-02,045,-1,2.4615,2.5974,0.57085,120.566,0.93344,1717.5299,980.8476,0.060826,./data/adl_imgs/adl-02-cam0-d-045.png
adl-02,046,-1,2.2892,2.5262,0.53836,118.5769,0.92569,1703.2645,974.5751,0.059011,./data/adl_imgs/adl-02-cam0-d-046.png
adl-02,047,-1,2.1111,2.5697,0.56776,112.7456,0.84241,1550.0299,941.8841,0.073881,./data/adl_imgs/adl-02-cam0-d-047.png
adl-02,048,-1,1.9655,2.3416,0.5696,121.6964,0.83515,1536.6795,958.2405,0.068091,./data/adl_imgs/adl-02-cam0-d-048.png
adl-02,049,-1,1.9326,2.4318,0.53214,116.0806,0.82976,1526.7582,959.5996,0.070832,./data/adl_imgs/adl-02-cam0-d-049.png
adl-02,050,-1,2.1758,2.5426,0.48174,120.2268,0.94407,1737.0942,1002.6354,0.056221,./data/adl_imgs/adl-02-cam0-d-050.png
adl-02,051,-1,2.2973,2.7872,0.61129,102.5399,0.84366,1552.3417,962.5426,0.06645,./data/adl_imgs/adl-02-cam0-d-051.png
adl-02,052,-1,1.9773,2.384,0.53422,116.0089,0.85656,1576.0628,980.6323,0.054401,./data/adl_imgs/adl-02-cam0-d-052.png
adl-02,053,-1,2.2247,2.5387,0.48303,116.7051,0.9331,1716.9001,1005.6739,0.04758,./data/adl_imgs/adl-02-cam0-d-053.png
adl-02,054,-1,2.1848,2.3841,0.45896,122.7024,0.93815,1726.1994,998.2992,0.050784,./data/adl_imgs/adl-02-cam0-d-054.png
adl-02,055,-1,2.2308,2.4851,0.45683,116.1538,0.95753,1761.8635,1005.0573,0.046096,./data/adl_imgs/adl-02-cam0-d-055.png
adl-02,056,-1,1.9239,2.2262,0.50338,121.5611,0.84125,1547.9003,966.2414,0.050872,./data/adl_imgs/adl-02-cam0-d-056.png
adl-02,057,-1,2.1684,2.39,0.44221,122.2955,0.94331,1735.6828,998.8004,0.047146,./data/adl_imgs/adl-02-cam0-d-057.png
adl-02,058,-1,2.1304,2.3043,0.47765,122.7005,0.88963,1636.9246,989.3357,0.046209,./data/adl_imgs/adl-02-cam0-d-058.png
adl-02,059,-1,2.1915,2.4714,0.47779,120.3114,0.92586,1703.589,983.2934,0.05588,./data/adl_imgs/adl-02-cam0-d-059.png
adl-02,060,-1,2.2128,2.5166,0.49033,119.6422,0.94438,1737.6527,956.2236,0.062689,./data/adl_imgs/adl-02-cam0-d-060.png
adl-02,061,-1,2.3077,2.5182,0.50795,121.0581,0.94531,1739.3757,959.9777,0.064284,./data/adl_imgs/adl-02-cam0-d-061.png
adl-02,062,-1,2.3297,2.5219,0.50985,119.7903,0.94628,1741.1635,953.7932,0.067812,./data/adl_imgs/adl-02-cam0-d-062.png
adl-02,063,-1,2.3667,2.4717,0.53307,121.1699,0.93426,1719.0441,947.7569,0.070751,./data/adl_imgs/adl-02-cam0-d-063.png
adl-02,064,-1,2.6585,2.7456,0.57065,119.6749,0.93033,1711.8111,944.1821,0.077737,./data/adl_imgs/adl-02-cam0-d-064.png
adl-02,065,-1,2.1395,2.368,0.62487,124.9316,0.80869,1487.9869,907.9308,0.089806,./data/adl_imgs/adl-02-cam0-d-065.png
adl-02,066,-1,2.7241,2.8371,0.50938,120.2694,0.92086,1694.3824,924.196,0.10721,./data/adl_imgs/adl-02-cam0-d-066.png
adl-02,067,-1,2.7176,2.8334,0.53736,121.5885,0.87907,1617.4799,905.5567,0.11838,./data/adl_imgs/adl-02-cam0-d-067.png
adl-02,068,-1,2.9294,3.0423,0.49053,117.2667,0.93838,1726.6194,908.2038,0.12445,./data/adl_imgs/adl-02-cam0-d-068.png
adl-02,069,-1,3.0238,3.0872,0.52264,118.7597,0.93951,1728.6946,905.9285,0.1234,./data/adl_imgs/adl-02-cam0-d-069.png
